time,pv_generation
2018-04-22 00:00:00+00:00,10542.663457324163
2018-04-23 00:00:00+00:00,8595.03272563294
2018-04-24 00:00:00+00:00,7078.596777148164
2018-04-25 00:00:00+00:00,4461.702866414932
2018-04-26 00:00:00+00:00,15616.172111755703
2018-04-27 00:00:00+00:00,16291.122969499565
2018-04-28 00:00:00+00:00,16330.806495998657
2018-04-29 00:00:00+00:00,15133.886335501014
2018-04-30 00:00:00+00:00,15639.14696121576
2018-05-01 00:00:00+00:00,12697.807834055966
2018-05-02 00:00:00+00:00,16559.199131955673
2018-05-03 00:00:00+00:00,17139.13551585422
2018-05-04 00:00:00+00:00,11355.074506245975
2018-05-05 00:00:00+00:00,9205.1609820415
2018-05-06 00:00:00+00:00,3225.618007375969
2018-05-07 00:00:00+00:00,16338.188086656983
2018-05-08 00:00:00+00:00,16731.860049433413
2018-05-09 00:00:00+00:00,16882.683632815602
2018-05-10 00:00:00+00:00,9411.323384658617
2018-05-11 00:00:00+00:00,11011.18146868092
2018-05-12 00:00:00+00:00,16281.027126397485
2018-05-13 00:00:00+00:00,16477.75098280631
2018-05-14 00:00:00+00:00,10707.026924719423
2018-05-15 00:00:00+00:00,11622.082537518829
2018-05-16 00:00:00+00:00,14171.100977523787
2018-05-17 00:00:00+00:00,13215.499515754747
2018-05-18 00:00:00+00:00,2901.863737309957
2018-05-19 00:00:00+00:00,2651.040020754885
2018-05-20 00:00:00+00:00,1684.5013594782795
2018-05-21 00:00:00+00:00,1782.5872695094895
2018-05-22 00:00:00+00:00,9197.393456568767
2018-05-23 00:00:00+00:00,16013.723681985592
2018-05-24 00:00:00+00:00,6175.87561497043
2018-05-25 00:00:00+00:00,5901.052556112154
2018-05-26 00:00:00+00:00,13796.809778079176
2018-05-27 00:00:00+00:00,15691.665685477026
2018-05-28 00:00:00+00:00,13164.17072950837
2018-05-29 00:00:00+00:00,8112.3706440372225
2018-05-30 00:00:00+00:00,8913.846818053418
2018-05-31 00:00:00+00:00,15480.545943565578
2018-06-01 00:00:00+00:00,13395.147605605347
2018-06-02 00:00:00+00:00,10409.781696738897
2018-06-03 00:00:00+00:00,15801.649056044213
2018-06-04 00:00:00+00:00,13300.259513881798
2018-06-05 00:00:00+00:00,17040.581754249943
2018-06-06 00:00:00+00:00,16328.790659578619
2018-06-07 00:00:00+00:00,15422.66985085718
2018-06-08 00:00:00+00:00,13891.427494365746
2018-06-09 00:00:00+00:00,10799.89083949723
2018-06-10 00:00:00+00:00,16242.705692505699
2018-06-11 00:00:00+00:00,16490.56721649612
2018-06-12 00:00:00+00:00,16032.233699892213
2018-06-13 00:00:00+00:00,15655.912160914477
2018-06-14 00:00:00+00:00,14042.373067620967
2018-06-15 00:00:00+00:00,15814.235131803931
2018-06-16 00:00:00+00:00,6829.918203912479
2018-06-17 00:00:00+00:00,8644.840391357595
2018-06-18 00:00:00+00:00,1848.3975647377206
2018-06-19 00:00:00+00:00,12740.275647324954
2018-06-20 00:00:00+00:00,14164.317420061014
2018-06-21 00:00:00+00:00,15917.176916307782
2018-06-22 00:00:00+00:00,12165.29128653468
2018-06-23 00:00:00+00:00,14648.632414281092
2018-06-24 00:00:00+00:00,9103.321310750269
2018-06-25 00:00:00+00:00,8054.477526630762
2018-06-26 00:00:00+00:00,9872.586588299933
2018-06-27 00:00:00+00:00,12432.41442566937
2018-06-28 00:00:00+00:00,15176.567047971352
2018-06-29 00:00:00+00:00,10440.464760475752
2018-06-30 00:00:00+00:00,10556.027571206598
2018-07-01 00:00:00+00:00,15022.091063270751
2018-07-02 00:00:00+00:00,7490.602938882012
2018-07-03 00:00:00+00:00,6931.458626758863
2018-07-04 00:00:00+00:00,2542.3060694601845
2018-07-05 00:00:00+00:00,9827.404947212854
2018-07-06 00:00:00+00:00,15744.97837248518
2018-07-07 00:00:00+00:00,16154.598826380077
2018-07-08 00:00:00+00:00,12349.355095248227
2018-07-09 00:00:00+00:00,5176.817816769052
2018-07-10 00:00:00+00:00,2864.7460320503624
2018-07-11 00:00:00+00:00,10981.307943081321
2018-07-12 00:00:00+00:00,10049.431511050261
2018-07-13 00:00:00+00:00,5302.9961902563
2018-07-14 00:00:00+00:00,10020.70460508983
2018-07-15 00:00:00+00:00,11560.609358660333
2018-07-16 00:00:00+00:00,12877.207677967152
2018-07-17 00:00:00+00:00,10880.551252256622
2018-07-18 00:00:00+00:00,13901.323063387339
2018-07-19 00:00:00+00:00,14154.0113812911
2018-07-20 00:00:00+00:00,14256.968087247487
2018-07-21 00:00:00+00:00,14743.385959429255
2018-07-22 00:00:00+00:00,14944.725094660684
2018-07-23 00:00:00+00:00,13474.87067157445
2018-07-24 00:00:00+00:00,15786.773352640834
2018-07-25 00:00:00+00:00,15166.116128405167
2018-07-26 00:00:00+00:00,8605.831081723514
2018-07-27 00:00:00+00:00,3609.696372821197
2018-07-28 00:00:00+00:00,5764.755691833465
2018-07-29 00:00:00+00:00,8878.000321666073
2018-07-30 00:00:00+00:00,7017.2401932137855
2018-07-31 00:00:00+00:00,6318.682616354368
2018-08-01 00:00:00+00:00,12245.563776465999
2018-08-02 00:00:00+00:00,12331.420228591354
2018-08-03 00:00:00+00:00,12848.279838516406
2018-08-04 00:00:00+00:00,12220.078835321856
2018-08-05 00:00:00+00:00,9615.993156093262
2018-08-06 00:00:00+00:00,12052.490775131952
2018-08-07 00:00:00+00:00,14503.094715403577
2018-08-08 00:00:00+00:00,15079.43841873444
2018-08-09 00:00:00+00:00,12754.38076364569
2018-08-10 00:00:00+00:00,13407.666260625883
2018-08-11 00:00:00+00:00,13434.589737564223
2018-08-12 00:00:00+00:00,14409.15756358202
2018-08-13 00:00:00+00:00,14071.925543415067
2018-08-14 00:00:00+00:00,13466.124642354696
2018-08-15 00:00:00+00:00,13692.090236729917
2018-08-16 00:00:00+00:00,10389.45958570107
2018-08-17 00:00:00+00:00,12501.981592072865
2018-08-18 00:00:00+00:00,4693.130152690758
2018-08-19 00:00:00+00:00,6636.816638086864
2018-08-20 00:00:00+00:00,11096.38239437639
2018-08-21 00:00:00+00:00,14610.178505940907
2018-08-22 00:00:00+00:00,9757.58972728832
2018-08-23 00:00:00+00:00,11384.178395563995
2018-08-24 00:00:00+00:00,13808.806107246794
2018-08-25 00:00:00+00:00,15422.417628361583
2018-08-26 00:00:00+00:00,15297.686329767717
2018-08-27 00:00:00+00:00,13924.17427629326
2018-08-28 00:00:00+00:00,14503.784310607516
2018-08-29 00:00:00+00:00,11599.473011954185
2018-08-30 00:00:00+00:00,10710.60356432401
2018-08-31 00:00:00+00:00,6076.290319461667
2018-09-01 00:00:00+00:00,5478.935965602857
2018-09-02 00:00:00+00:00,10463.45426577706
2018-09-03 00:00:00+00:00,14433.035630193432
2018-09-04 00:00:00+00:00,15177.189380247826
2018-09-05 00:00:00+00:00,4907.3602639083565
2018-09-06 00:00:00+00:00,6202.2827793929955
2018-09-07 00:00:00+00:00,14988.165763568595
2018-09-08 00:00:00+00:00,15435.419032126623
2018-09-09 00:00:00+00:00,15355.200409359031
2018-09-10 00:00:00+00:00,12010.75974152464
2018-09-11 00:00:00+00:00,14231.568578475262
2018-09-12 00:00:00+00:00,10456.346017254491
2018-09-13 00:00:00+00:00,2381.3424097582297
2018-09-14 00:00:00+00:00,2208.59692270109
2018-09-15 00:00:00+00:00,2833.7146949321123
2018-09-16 00:00:00+00:00,3360.2208885454706
2018-09-17 00:00:00+00:00,2827.2660065319988
2018-09-18 00:00:00+00:00,671.1634499964968
2018-09-19 00:00:00+00:00,2683.1962715882673
2018-09-20 00:00:00+00:00,1099.4219951783507
2018-09-21 00:00:00+00:00,13897.612872721005
2018-09-22 00:00:00+00:00,13662.511108230552
2018-09-23 00:00:00+00:00,13997.967944055888
2018-09-24 00:00:00+00:00,13279.355134710513
2018-09-25 00:00:00+00:00,1076.8896857919353
2018-09-26 00:00:00+00:00,5256.809859053921
2018-09-27 00:00:00+00:00,5276.804429701507
2018-09-28 00:00:00+00:00,13839.099906112591
2018-09-29 00:00:00+00:00,13675.783691116994
2018-09-30 00:00:00+00:00,13511.831752683935
2018-10-01 00:00:00+00:00,13661.80102917768
2018-10-02 00:00:00+00:00,12205.410555252733
2018-10-03 00:00:00+00:00,11365.994300970106
2018-10-04 00:00:00+00:00,13091.32689886956
2018-10-05 00:00:00+00:00,12450.245396859937
