time,Gb(i),Gd(i),Gr(i),H_sun,T2m,WS10m,Int
20190108:1249,0.0,0.91,0.01,5.71,20.18,2.07,0.0
20190108:1349,0.0,0.0,0.0,0.0,19.0,1.1,0.0
20190108:1449,0.0,0.0,0.0,0.0,17.94,0.55,0.0
20190108:1549,0.0,0.0,0.0,0.0,16.93,0.34,0.0
20190108:1649,0.0,0.0,0.0,0.0,16.03,0.48,0.0
20190108:1749,0.0,0.0,0.0,0.0,15.32,0.55,0.0
20190108:1849,0.0,0.0,0.0,0.0,14.57,0.83,0.0
20190108:1949,0.0,0.0,0.0,0.0,13.72,1.1,0.0
20190108:2049,0.0,0.0,0.0,0.0,12.42,1.66,0.0
20190108:2149,0.0,0.0,0.0,0.0,11.69,1.93,0.0
20190108:2249,0.0,0.0,0.0,0.0,11.34,2.14,0.0
20190108:2349,0.0,0.0,0.0,0.0,11.06,2.34,0.0
20190109:0049,0.0,0.0,0.0,0.0,10.79,2.55,0.0
20190109:0149,0.0,0.0,0.0,0.0,10.58,2.83,0.0
20190109:0249,0.0,0.0,0.0,-1.94,10.45,2.97,0.0
20190109:0349,17.72,88.51,1.1,9.77,11.67,3.03,0.0
20190109:0449,420.63,204.41,4.17,20.46,15.41,4.62,0.0
20190109:0549,642.53,200.05,6.19,29.58,17.44,5.38,0.0
20190109:0649,757.61,186.8,7.44,36.3,18.8,5.86,0.0
20190109:0749,782.71,174.05,7.92,39.64,20.03,6.28,0.0
20190109:0849,688.58,174.56,7.43,38.94,20.95,6.41,0.0
20190109:0949,563.03,150.76,6.29,34.34,21.49,6.34,0.0
20190109:1049,318.98,147.62,4.27,26.69,21.47,6.07,0.0
20190109:1149,192.6,73.07,2.36,16.95,20.96,5.66,0.0
20190109:1249,0.0,0.91,0.01,5.86,19.92,4.62,0.0
20190109:1349,0.0,0.0,0.0,0.0,18.85,3.52,0.0
20190109:1449,0.0,0.0,0.0,0.0,18.24,3.03,0.0
20190109:1549,0.0,0.0,0.0,0.0,17.76,3.03,0.0
20190109:1649,0.0,0.0,0.0,0.0,17.11,3.31,0.0
20190109:1749,0.0,0.0,0.0,0.0,16.3,3.38,0.0
20190109:1849,0.0,0.0,0.0,0.0,15.52,3.38,0.0
20190109:1949,0.0,0.0,0.0,0.0,14.69,3.1,0.0
20190109:2049,0.0,0.0,0.0,0.0,14.01,3.1,0.0
20190109:2149,0.0,0.0,0.0,0.0,13.38,3.1,0.0
20190109:2249,0.0,0.0,0.0,0.0,12.84,2.97,0.0
20190109:2349,0.0,0.0,0.0,0.0,12.34,2.9,0.0
20190110:0049,0.0,0.0,0.0,0.0,11.9,2.83,0.0
20190110:0149,0.0,0.0,0.0,0.0,11.41,2.97,0.0
20190110:0249,0.0,0.0,0.0,-1.95,11.07,3.03,0.0
20190110:0349,64.82,116.88,1.45,9.78,11.76,2.76,0.0
20190110:0449,249.91,224.71,3.62,20.5,14.53,3.93,0.0
20190110:0549,356.33,279.73,5.23,29.65,15.97,5.38,0.0
20190110:0649,125.81,319.68,4.65,36.4,17.29,6.76,0.0
20190110:0749,103.23,326.32,4.67,39.78,18.36,7.24,0.0
20190110:0849,662.45,186.34,7.35,39.1,19.36,7.38,0.0
20190110:0949,362.83,232.0,5.55,34.51,19.93,7.38,0.0
20190110:1049,167.13,191.29,3.58,26.86,20.04,7.17,0.0
20190110:1149,56.95,102.56,1.67,17.12,19.61,6.48,0.0
20190110:1249,0.0,2.72,0.03,6.02,18.74,5.1,0.0
20190110:1349,0.0,0.0,0.0,0.0,17.83,3.66,0.0
20190110:1449,0.0,0.0,0.0,0.0,17.04,2.76,0.0
20190110:1549,0.0,0.0,0.0,0.0,16.3,2.07,0.0
20190110:1649,0.0,0.0,0.0,0.0,15.24,1.52,0.0
20190110:1749,0.0,0.0,0.0,0.0,14.37,2.14,0.0
20190110:1849,0.0,0.0,0.0,0.0,13.74,2.69,0.0
20190110:1949,0.0,0.0,0.0,0.0,13.78,5.93,0.0
20190110:2049,0.0,0.0,0.0,0.0,12.57,7.38,0.0
20190110:2149,0.0,0.0,0.0,0.0,11.19,7.52,0.0
20190110:2249,0.0,0.0,0.0,0.0,10.31,7.45,0.0
20190110:2349,0.0,0.0,0.0,0.0,9.59,7.31,0.0
20190111:0049,0.0,0.0,0.0,0.0,8.83,7.1,0.0
20190111:0149,0.0,0.0,0.0,0.0,8.1,7.1,0.0
20190111:0249,0.0,0.0,0.0,-1.96,7.49,6.83,0.0
20190111:0349,176.25,149.35,1.88,9.79,7.69,6.9,0.0
20190111:0449,401.3,213.47,4.17,20.53,8.85,8.0,0.0
20190111:0549,423.48,274.07,5.56,29.72,10.28,8.41,0.0
20190111:0649,668.8,234.43,7.27,36.51,11.46,8.41,0.0
20190111:0749,735.69,205.14,7.87,39.92,12.73,8.41,0.0
20190111:0849,668.12,192.48,7.46,39.27,13.61,8.21,0.0
20190111:0949,549.81,165.03,6.35,34.69,14.04,8.0,0.0
20190111:1049,385.7,126.22,4.6,27.04,14.01,7.86,0.0
20190111:1149,172.8,83.65,2.34,17.29,13.34,7.72,0.0
20190111:1249,0.0,0.91,0.01,6.18,12.18,7.03,0.0
20190111:1349,0.0,0.0,0.0,0.0,11.1,6.62,0.0
20190111:1449,0.0,0.0,0.0,0.0,10.31,6.48,0.0
20190111:1549,0.0,0.0,0.0,0.0,9.63,6.28,0.0
20190111:1649,0.0,0.0,0.0,0.0,8.94,6.34,0.0
20190111:1749,0.0,0.0,0.0,0.0,8.19,6.07,0.0
20190111:1849,0.0,0.0,0.0,0.0,7.42,5.38,0.0
20190111:1949,0.0,0.0,0.0,0.0,6.79,5.17,0.0
20190111:2049,0.0,0.0,0.0,0.0,6.29,4.9,0.0
20190111:2149,0.0,0.0,0.0,0.0,5.87,4.69,0.0
20190111:2249,0.0,0.0,0.0,0.0,5.53,4.48,0.0
20190111:2349,0.0,0.0,0.0,0.0,5.13,4.41,0.0
20190112:0049,0.0,0.0,0.0,0.0,4.83,4.14,0.0
20190112:0149,0.0,0.0,0.0,0.0,4.49,4.07,0.0
20190112:0249,0.0,0.0,0.0,-1.96,4.13,3.79,0.0
20190112:0349,348.37,158.9,2.33,9.81,5.23,3.72,0.0
20190112:0449,563.57,175.39,4.67,20.58,7.73,4.76,0.0
20190112:0549,729.69,178.39,6.59,29.79,9.88,5.72,0.0
20190112:0649,809.53,181.17,7.8,36.62,11.0,6.21,0.0
20190112:0749,847.2,162.18,8.35,40.07,12.32,6.76,0.0
20190112:0849,739.82,167.64,7.81,39.44,13.35,6.62,0.0
20190112:0949,606.51,147.27,6.65,34.87,13.94,6.21,0.0
20190112:1049,392.57,129.81,4.71,27.22,14.16,5.66,0.0
20190112:1149,169.2,88.68,2.37,17.46,13.83,5.31,0.0
20190112:1249,0.0,2.72,0.03,6.34,12.76,4.55,0.0
20190112:1349,0.0,0.0,0.0,0.0,11.37,3.72,0.0
20190112:1449,0.0,0.0,0.0,0.0,10.3,2.83,0.0
20190112:1549,0.0,0.0,0.0,0.0,9.22,2.48,0.0
20190112:1649,0.0,0.0,0.0,0.0,8.25,2.34,0.0
20190112:1749,0.0,0.0,0.0,0.0,7.39,2.28,0.0
20190112:1849,0.0,0.0,0.0,0.0,6.57,2.14,0.0
20190112:1949,0.0,0.0,0.0,0.0,5.73,1.93,0.0
20190112:2049,0.0,0.0,0.0,0.0,5.19,1.79,0.0
20190112:2149,0.0,0.0,0.0,0.0,5.05,1.66,0.0
20190112:2249,0.0,0.0,0.0,0.0,7.16,1.38,0.0
20190112:2349,0.0,0.0,0.0,0.0,8.55,1.52,0.0
20190113:0049,0.0,0.0,0.0,0.0,8.36,1.79,0.0
20190113:0149,0.0,0.0,0.0,0.0,7.65,2.07,0.0
20190113:0249,0.0,0.0,0.0,-1.95,7.53,2.07,0.0
20190113:0349,169.13,149.7,1.88,9.84,8.32,2.07,0.0
20190113:0449,544.64,172.89,4.57,20.63,11.35,2.55,0.0
20190113:0549,670.47,194.49,6.36,29.88,15.13,4.0,0.0
20190113:0649,774.79,186.81,7.62,36.74,16.61,3.66,0.0
20190113:0749,814.21,169.44,8.17,40.23,17.65,4.21,0.0
20190113:0849,731.44,164.49,7.73,39.62,18.33,4.55,0.0
20190113:0949,582.21,151.85,6.51,35.06,18.71,4.69,0.0
20190113:1049,394.02,124.99,4.69,27.4,18.71,4.55,0.0
20190113:1149,139.6,95.98,2.23,17.63,18.29,4.21,0.0
20190113:1249,0.0,3.62,0.05,6.5,17.32,3.72,0.0
20190113:1349,0.0,0.0,0.0,0.0,15.98,2.55,0.0
20190113:1449,0.0,0.0,0.0,0.0,15.15,2.21,0.0
20190113:1549,0.0,0.0,0.0,0.0,14.34,2.21,0.0
20190113:1649,0.0,0.0,0.0,0.0,13.41,2.34,0.0
20190113:1749,0.0,0.0,0.0,0.0,12.75,2.55,0.0
20190113:1849,0.0,0.0,0.0,0.0,12.22,2.9,0.0
20190113:1949,0.0,0.0,0.0,0.0,11.83,3.24,0.0
20190113:2049,0.0,0.0,0.0,0.0,11.56,3.66,0.0
20190113:2149,0.0,0.0,0.0,0.0,11.19,3.72,0.0
20190113:2249,0.0,0.0,0.0,0.0,10.78,3.59,0.0
20190113:2349,0.0,0.0,0.0,0.0,10.52,3.59,0.0
20190114:0049,0.0,0.0,0.0,0.0,10.17,3.52,0.0
20190114:0149,0.0,0.0,0.0,0.0,10.01,3.66,0.0
20190114:0249,0.0,0.0,0.0,-1.94,9.98,3.66,0.0
20190114:0349,0.0,33.89,0.42,9.87,10.91,3.86,0.0
20190114:0449,3.87,134.31,1.67,20.69,13.06,4.62,0.0
20190114:0549,0.0,99.8,1.23,29.97,14.73,5.86,0.0
20190114:0649,0.0,138.4,1.71,36.87,16.59,6.48,0.0
20190114:0749,0.0,163.82,2.02,40.39,17.39,7.1,0.0
20190114:0849,0.0,156.29,1.93,39.81,17.66,7.31,0.0
20190114:0949,0.0,86.62,1.07,35.25,17.22,7.03,0.0
20190114:1049,0.0,64.96,0.8,27.59,16.71,6.48,0.0
20190114:1149,0.0,31.07,0.38,17.81,16.43,6.0,0.0
20190114:1249,0.0,1.81,0.02,6.67,15.8,4.76,0.0
20190114:1349,0.0,0.0,0.0,0.0,15.14,4.21,0.0
20190114:1449,0.0,0.0,0.0,0.0,14.77,3.86,0.0
20190114:1549,0.0,0.0,0.0,0.0,14.41,3.86,0.0
20190114:1649,0.0,0.0,0.0,0.0,14.2,4.0,0.0
20190114:1749,0.0,0.0,0.0,0.0,13.86,4.14,0.0
20190114:1849,0.0,0.0,0.0,0.0,13.5,4.07,0.0
20190114:1949,0.0,0.0,0.0,0.0,12.99,4.07,0.0
20190114:2049,0.0,0.0,0.0,0.0,12.52,3.93,0.0
20190114:2149,0.0,0.0,0.0,0.0,12.11,3.79,0.0
20190114:2249,0.0,0.0,0.0,0.0,11.58,3.52,0.0
20190114:2349,0.0,0.0,0.0,0.0,11.2,3.38,0.0
20190115:0049,0.0,0.0,0.0,0.0,10.85,3.38,0.0
20190115:0149,0.0,0.0,0.0,0.0,10.74,3.38,0.0
20190115:0249,0.0,0.0,0.0,-1.92,10.68,3.52,0.0
20190115:0349,0.0,16.95,0.21,9.91,11.24,3.59,0.0
20190115:0449,0.0,53.66,0.66,20.75,12.8,4.21,0.0
20190115:0549,0.0,89.44,1.1,30.06,14.13,5.24,0.0
20190115:0649,1.5,201.64,2.5,37.01,15.4,5.66,0.0
20190115:0749,107.93,335.47,4.83,40.56,15.9,5.79,0.0
20190115:0849,34.22,283.0,3.73,40.0,17.05,6.0,0.0
20190115:0949,104.35,274.93,4.14,35.45,17.74,6.21,0.0
20190115:1049,110.14,203.59,3.33,27.78,17.98,6.07,0.0
20190115:1149,0.0,31.07,0.38,17.99,17.55,5.59,0.0
20190115:1249,0.0,1.81,0.02,6.84,16.86,4.69,0.0
20190115:1349,0.0,0.0,0.0,0.0,16.08,3.79,0.0
20190115:1449,0.0,0.0,0.0,0.0,15.74,3.45,0.0
20190115:1549,0.0,0.0,0.0,0.0,15.32,3.24,0.0
20190115:1649,0.0,0.0,0.0,0.0,14.97,3.17,0.0
20190115:1749,0.0,0.0,0.0,0.0,14.47,3.17,0.0
20190115:1849,0.0,0.0,0.0,0.0,13.69,2.9,0.0
20190115:1949,0.0,0.0,0.0,0.0,12.96,2.76,0.0
20190115:2049,0.0,0.0,0.0,0.0,12.28,2.62,0.0
20190115:2149,0.0,0.0,0.0,0.0,11.69,2.41,0.0
20190115:2249,0.0,0.0,0.0,0.0,11.08,2.21,0.0
20190115:2349,0.0,0.0,0.0,0.0,10.58,2.14,0.0
20190116:0049,0.0,0.0,0.0,0.0,10.2,2.0,0.0
20190116:0149,0.0,0.0,0.0,0.0,9.92,2.0,0.0
20190116:0249,0.0,0.0,0.0,-1.9,9.82,1.93,0.0
20190116:0349,209.86,150.17,1.98,9.95,10.67,1.79,0.0
20190116:0449,457.15,193.44,4.33,20.82,14.8,2.28,0.0
20190116:0549,672.2,183.92,6.33,30.17,17.2,2.76,0.0
20190116:0649,0.0,0.0,0.0,0.0,19.4,2.76,0.0
20190116:0749,527.12,283.84,7.15,40.74,20.91,2.9,0.0
20190116:0849,722.5,161.98,7.69,40.2,22.07,3.52,0.0
20190116:0949,608.46,137.82,6.64,35.65,22.6,3.86,0.0
20190116:1049,417.91,114.94,4.83,27.98,22.65,3.86,0.0
20190116:1149,199.38,79.8,2.56,18.17,22.15,3.72,0.0
20190116:1249,0.0,2.72,0.03,7.01,21.08,3.1,0.0
20190116:1349,0.0,0.0,0.0,0.0,19.71,2.0,0.0
20190116:1449,0.0,0.0,0.0,0.0,18.6,1.79,0.0
20190116:1549,0.0,0.0,0.0,0.0,17.79,1.52,0.0
20190116:1649,0.0,0.0,0.0,0.0,16.89,1.72,0.0
20190116:1749,0.0,0.0,0.0,0.0,16.02,2.0,0.0
20190116:1849,0.0,0.0,0.0,0.0,15.35,2.14,0.0
20190116:1949,0.0,0.0,0.0,0.0,14.63,2.14,0.0
20190116:2049,0.0,0.0,0.0,0.0,14.11,2.07,0.0
20190116:2149,0.0,0.0,0.0,0.0,13.88,2.0,0.0
20190116:2249,0.0,0.0,0.0,0.0,13.79,1.93,0.0
20190116:2349,0.0,0.0,0.0,0.0,13.49,2.0,0.0
20190117:0049,0.0,0.0,0.0,0.0,13.19,2.0,0.0
20190117:0149,0.0,0.0,0.0,0.0,12.75,2.14,0.0
20190117:0249,0.0,0.0,0.0,-1.87,12.22,2.28,0.0
20190117:0349,0.0,16.95,0.21,10.0,12.49,2.41,0.0
20190117:0449,0.0,89.44,1.1,20.9,17.5,3.1,0.0
20190117:0549,29.36,236.54,3.07,30.27,20.44,4.9,0.0
20190117:0649,149.42,330.84,4.94,37.29,21.69,5.72,0.0
20190117:0749,244.58,348.07,5.87,40.92,22.62,6.62,0.0
20190117:0849,174.41,330.73,5.28,40.4,23.29,7.24,0.0
20190117:0949,162.35,280.81,4.64,35.86,23.47,7.66,0.0
20190117:1049,71.17,202.92,3.03,28.18,23.48,7.79,0.0
